Specific loudness calculation according to ISO 532-1 for time varying sounds

N' / (sone / Bark) (free field)
;
t / s \ Bark;0.1000;0.2000;0.3000;0.4000;0.5000;0.6000;0.7000;0.8000;0.9000;1.0000;1.1000;1.2000;1.3000;1.4000;1.5000;1.6000;1.7000;1.8000;1.9000;2.0000;2.1000;2.2000;2.3000;2.4000;2.5000;2.6000;2.7000;2.8000;2.9000;3.0000;3.1000;3.2000;3.3000;3.4000;3.5000;3.6000;3.7000;3.8000;3.9000;4.0000;4.1000;4.2000;4.3000;4.4000;4.5000;4.6000;4.7000;4.8000;4.9000;5.0000;5.1000;5.2000;5.3000;5.4000;5.5000;5.6000;5.7000;5.8000;5.9000;6.0000;6.1000;6.2000;6.3000;6.4000;6.5000;6.6000;6.7000;6.8000;6.9000;7.0000;7.1000;7.2000;7.3000;7.4000;7.5000;7.6000;7.7000;7.8000;7.9000;8.0000;8.1000;8.2000;8.3000;8.4000;8.5000;8.6000;8.7000;8.8000;8.9000;9.0000;9.1000;9.2000;9.3000;9.4000;9.5000;9.6000;9.7000;9.8000;9.9000;10.0000;10.1000;10.2000;10.3000;10.4000;10.5000;10.6000;10.7000;10.8000;10.9000;11.0000;11.1000;11.2000;11.3000;11.4000;11.5000;11.6000;11.7000;11.8000;11.9000;12.0000;12.1000;12.2000;12.3000;12.4000;12.5000;12.6000;12.7000;12.8000;12.9000;13.0000;13.1000;13.2000;13.3000;13.4000;13.5000;13.6000;13.7000;13.8000;13.9000;14.0000;14.1000;14.2000;14.3000;14.4000;14.5000;14.6000;14.7000;14.8000;14.9000;15.0000;15.1000;15.2000;15.3000;15.4000;15.5000;15.6000;15.7000;15.8000;15.9000;16.0000;16.1000;16.2000;16.3000;16.4000;16.5000;16.6000;16.7000;16.8000;16.9000;17.0000;17.1000;17.2000;17.3000;17.4000;17.5000;17.6000;17.7000;17.8000;17.9000;18.0000;18.1000;18.2000;18.3000;18.4000;18.5000;18.6000;18.7000;18.8000;18.9000;19.0000;19.1000;19.2000;19.3000;19.4000;19.5000;19.6000;19.7000;19.8000;19.9000;20.0000;20.1000;20.2000;20.3000;20.4000;20.5000;20.6000;20.7000;20.8000;20.9000;21.0000;21.1000;21.2000;21.3000;21.4000;21.5000;21.6000;21.7000;21.8000;21.9000;22.0000;22.1000;22.2000;22.3000;22.4000;22.5000;22.6000;22.7000;22.8000;22.9000;23.0000;23.1000;23.2000;23.3000;23.4000;23.5000;23.6000;23.7000;23.8000;23.9000;24.0000;
0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.0020;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0011;0.0011;0.0011;0.0011;0.0011;0.0011;0.0011;0.0011;0.0011;0.0011;0.0011;0.0011;0.0011;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0235;0.0235;0.0235;0.0235;0.0235;0.0235;0.0235;0.0235;0.0235;0.0235;0.0235;0.0235;0.0235;0.0235;0.0215;0.0200;0.0200;0.0200;0.0200;0.0200;0.0200;0.0200;0.0200;0.0200;0.0200;0.0200;0.0200;0.0200;0.0200;0.0200;0.0200;0.0180;0.0160;0.0140;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0120;0.0120;0.0120;0.0120;0.0120;0.0120;0.0120;0.0120;0.0120;0.0120;0.0120;0.0120;0.0120;0.0120;0.0112;0.0112;0.0112;0.0112;0.0112;0.0112;0.0112;0.0112;0.0112;0.0112;0.0112;0.0112;0.0112;0.0112;0.0112;0.0092;0.0072;0.0056;0.0056;0.0056;0.0056;0.0056;0.0056;0.0056;0.0056;0.0056;0.0056;0.0056;0.0056;0.0036;0.0016;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.0040;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0187;0.0187;0.0187;0.0187;0.0187;0.0187;0.0187;0.0187;0.0187;0.0187;0.0187;0.0187;0.0855;0.0855;0.0855;0.0855;0.0855;0.0855;0.0855;0.0855;0.0855;0.0855;0.0855;0.0855;0.0855;0.1636;0.1636;0.1636;0.1636;0.1636;0.1636;0.1636;0.1636;0.1636;0.1636;0.1636;0.1636;0.1636;0.1526;0.1439;0.1359;0.1279;0.1199;0.1178;0.1178;0.1178;0.1178;0.1178;0.1178;0.1178;0.1178;0.1178;0.1098;0.1018;0.0961;0.0911;0.0861;0.0811;0.0761;0.0711;0.0661;0.0611;0.0561;0.0511;0.0461;0.0426;0.0426;0.0426;0.0426;0.0376;0.0340;0.0320;0.0300;0.0280;0.0260;0.0240;0.0220;0.0211;0.0211;0.0211;0.0211;0.0211;0.0211;0.0211;0.0191;0.0171;0.0151;0.0131;0.0129;0.0129;0.0129;0.0129;0.0129;0.0129;0.0129;0.0129;0.0129;0.0129;0.0109;0.0089;0.0089;0.0089;0.0089;0.0089;0.0089;0.0089;0.0089;0.0089;0.0089;0.0089;0.0089;0.0089;0.0089;0.0069;0.0049;0.0038;0.0038;0.0038;0.0038;0.0038;0.0038;0.0038;0.0038;0.0038;0.0038;0.0038;0.0038;0.0018;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.0060;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0096;0.0096;0.0096;0.0096;0.0096;0.0096;0.0096;0.0096;0.0096;0.0096;0.0402;0.0402;0.0402;0.0402;0.0402;0.0402;0.0402;0.0402;0.0402;0.0402;0.0402;0.0402;0.1330;0.1330;0.1330;0.1330;0.1330;0.1330;0.1330;0.1330;0.1330;0.1330;0.1330;0.1330;0.1330;0.2844;0.2844;0.2844;0.2844;0.2844;0.2844;0.2844;0.2844;0.2844;0.2844;0.2844;0.2844;0.2844;0.2674;0.2504;0.2334;0.2177;0.2067;0.1957;0.1847;0.1737;0.1627;0.1517;0.1432;0.1352;0.1272;0.1192;0.1112;0.1032;0.0970;0.0920;0.0870;0.0820;0.0770;0.0720;0.0670;0.0620;0.0570;0.0520;0.0470;0.0420;0.0370;0.0338;0.0318;0.0298;0.0278;0.0258;0.0238;0.0218;0.0198;0.0178;0.0158;0.0138;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0115;0.0095;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0082;0.0062;0.0057;0.0057;0.0057;0.0057;0.0057;0.0057;0.0057;0.0057;0.0057;0.0057;0.0057;0.0057;0.0057;0.0057;0.0037;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0004;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.0080;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0031;0.0031;0.0031;0.0031;0.0031;0.0031;0.0031;0.0031;0.0031;0.0198;0.0198;0.0198;0.0198;0.0198;0.0198;0.0198;0.0198;0.0198;0.0198;0.0459;0.0459;0.0459;0.0459;0.0459;0.0459;0.0459;0.0459;0.0459;0.0459;0.0459;0.0459;0.1042;0.1042;0.1042;0.1042;0.1042;0.1042;0.1042;0.1042;0.1042;0.1042;0.1042;0.1042;0.1042;0.3400;0.3400;0.3400;0.3400;0.3400;0.3400;0.3400;0.3400;0.3400;0.3400;0.3400;0.3400;0.3400;0.3180;0.2969;0.2799;0.2629;0.2459;0.2289;0.2148;0.2038;0.1928;0.1818;0.1708;0.1598;0.1491;0.1411;0.1331;0.1251;0.1171;0.1091;0.1011;0.0957;0.0907;0.0857;0.0807;0.0757;0.0707;0.0657;0.0607;0.0557;0.0507;0.0457;0.0407;0.0357;0.0333;0.0313;0.0293;0.0273;0.0253;0.0233;0.0213;0.0193;0.0173;0.0153;0.0133;0.0113;0.0093;0.0086;0.0066;0.0053;0.0053;0.0053;0.0053;0.0053;0.0053;0.0053;0.0053;0.0053;0.0053;0.0053;0.0053;0.0053;0.0036;0.0036;0.0036;0.0036;0.0036;0.0036;0.0036;0.0036;0.0036;0.0036;0.0036;0.0036;0.0036;0.0036;0.0036;0.0016;0.0016;0.0016;0.0016;0.0016;0.0016;0.0016;0.0016;0.0016;0.0016;0.0016;0.0016;0.0016;0.0016;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.0100;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0081;0.0081;0.0081;0.0081;0.0081;0.0081;0.0081;0.0081;0.0081;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0363;0.0363;0.0363;0.0363;0.0363;0.0363;0.0363;0.0363;0.0363;0.0363;0.0363;0.0363;0.0666;0.0666;0.0666;0.0666;0.0666;0.0666;0.0666;0.0666;0.0666;0.0666;0.0666;0.0666;0.0666;0.3475;0.3475;0.3475;0.3475;0.3475;0.3475;0.3475;0.3475;0.3475;0.3475;0.3475;0.3475;0.3475;0.3255;0.3035;0.2857;0.2687;0.2517;0.2347;0.2185;0.2075;0.1965;0.1855;0.1745;0.1635;0.1525;0.1438;0.1358;0.1278;0.1198;0.1118;0.1038;0.0974;0.0924;0.0874;0.0824;0.0774;0.0724;0.0674;0.0624;0.0574;0.0524;0.0474;0.0424;0.0374;0.0340;0.0320;0.0300;0.0280;0.0260;0.0240;0.0220;0.0200;0.0180;0.0160;0.0140;0.0120;0.0100;0.0080;0.0060;0.0040;0.0034;0.0034;0.0034;0.0034;0.0034;0.0034;0.0034;0.0034;0.0034;0.0034;0.0034;0.0034;0.0023;0.0023;0.0023;0.0023;0.0023;0.0023;0.0023;0.0023;0.0023;0.0023;0.0023;0.0023;0.0023;0.0023;0.0023;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.0120;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0101;0.0101;0.0101;0.0101;0.0101;0.0101;0.0101;0.0101;0.0101;0.0182;0.0182;0.0182;0.0182;0.0182;0.0182;0.0182;0.0182;0.0182;0.0182;0.0232;0.0232;0.0232;0.0232;0.0232;0.0232;0.0232;0.0232;0.0232;0.0232;0.0232;0.0232;0.0574;0.0574;0.0574;0.0574;0.0574;0.0574;0.0574;0.0574;0.0574;0.0574;0.0574;0.0574;0.0574;0.3385;0.3385;0.3385;0.3385;0.3385;0.3385;0.3385;0.3385;0.3385;0.3385;0.3385;0.3385;0.3385;0.3165;0.2957;0.2787;0.2617;0.2447;0.2277;0.2140;0.2030;0.1920;0.1810;0.1700;0.1590;0.1485;0.1405;0.1325;0.1245;0.1165;0.1085;0.1005;0.0953;0.0903;0.0853;0.0803;0.0753;0.0703;0.0653;0.0603;0.0553;0.0503;0.0453;0.0403;0.0353;0.0331;0.0311;0.0291;0.0271;0.0251;0.0231;0.0211;0.0191;0.0171;0.0151;0.0131;0.0111;0.0091;0.0071;0.0051;0.0031;0.0022;0.0022;0.0022;0.0022;0.0022;0.0022;0.0022;0.0022;0.0022;0.0022;0.0022;0.0022;0.0015;0.0015;0.0015;0.0015;0.0015;0.0015;0.0015;0.0015;0.0015;0.0015;0.0015;0.0015;0.0015;0.0015;0.0015;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.0140;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0021;0.0021;0.0021;0.0021;0.0021;0.0021;0.0021;0.0090;0.0090;0.0090;0.0090;0.0090;0.0090;0.0090;0.0090;0.0090;0.0117;0.0117;0.0117;0.0117;0.0117;0.0117;0.0117;0.0117;0.0117;0.0117;0.0149;0.0149;0.0149;0.0149;0.0149;0.0149;0.0149;0.0149;0.0149;0.0149;0.0149;0.0149;0.0632;0.0632;0.0632;0.0632;0.0632;0.0632;0.0632;0.0632;0.0632;0.0632;0.0632;0.0632;0.0632;0.3334;0.3334;0.3334;0.3334;0.3334;0.3334;0.3334;0.3334;0.3334;0.3334;0.3334;0.3334;0.3334;0.3114;0.2918;0.2748;0.2578;0.2408;0.2238;0.2115;0.2005;0.1895;0.1785;0.1675;0.1565;0.1467;0.1387;0.1307;0.1227;0.1147;0.1067;0.0992;0.0942;0.0892;0.0842;0.0792;0.0742;0.0692;0.0642;0.0592;0.0542;0.0492;0.0442;0.0392;0.0347;0.0327;0.0307;0.0287;0.0267;0.0247;0.0227;0.0207;0.0187;0.0167;0.0147;0.0127;0.0107;0.0087;0.0067;0.0047;0.0027;0.0014;0.0014;0.0014;0.0014;0.0014;0.0014;0.0014;0.0014;0.0014;0.0014;0.0014;0.0014;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.0160;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0059;0.0059;0.0059;0.0059;0.0059;0.0059;0.0059;0.0059;0.0059;0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0097;0.0097;0.0097;0.0097;0.0097;0.0097;0.0097;0.0097;0.0097;0.0097;0.0097;0.0097;0.0581;0.0581;0.0581;0.0581;0.0581;0.0581;0.0581;0.0581;0.0581;0.0581;0.0581;0.0581;0.0581;0.3343;0.3343;0.3343;0.3343;0.3343;0.3343;0.3343;0.3343;0.3343;0.3343;0.3343;0.3343;0.3343;0.3124;0.2926;0.2756;0.2586;0.2416;0.2246;0.2119;0.2009;0.1899;0.1789;0.1679;0.1569;0.1471;0.1391;0.1311;0.1231;0.1151;0.1071;0.0994;0.0944;0.0894;0.0844;0.0794;0.0744;0.0694;0.0644;0.0594;0.0544;0.0494;0.0444;0.0394;0.0348;0.0328;0.0308;0.0288;0.0268;0.0248;0.0228;0.0208;0.0188;0.0168;0.0148;0.0128;0.0108;0.0088;0.0068;0.0048;0.0028;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0010;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0007;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
