LocationID,SessionID,GroupID,RecordID,Language,Lockdown,start_time,end_time,latitude,longitude,Traffic,Other,Human,Natural,ISOPleasant,ISOEventful,pleasant,chaotic,vibrant,uneventful,calm,annoying,eventful,monotonous,Overall,Appropriate,loud,sss04,sss05,who01,who02,who03,who04,who05,WHO_Sum,Age,Gender,occ00___Employed,occ00___Unemployed,occ00___Retired,occ00___Student,occ00___Other,occ00___RatherNotSay,occ00_other,Occupation,edu00,eth00,eth00_other,misc00,misc03,misc03_other,misc04,misc01,use00,uni00,res00___1,res00___2,res00___3,res00___4,res00___5,res02,paper,RecordingLength,Loudness_N5(soneGF),N10_N90(soneGF),Sharpness_S(acum),Rough_HM_R(asper),"Rough_HM_Avg,arith(asper)","FS_Avg,arith(vacil)","I_HM_Avg,arith(iu)","Ton_HM_Avg,arith(tuHMS)",LZeq_L(dB(SPL)),LAeq_L(A)(dB(SPL)),LA10_LA90(dB(SPL)),LCeq_LAeq(dB(SPL)),LC10_LC90(dB(SPL)),RA_2D_cp(cPa),PA(Zwicker)
SanMarco,SanMarco2,ML212,47,Italian,0,01/03/2019 14:43,01/03/2019 15:00,45.433663,12.339658,4,4,3,2,-0.1464,0,3,3,2,3,2,3,3,3,3,2,3,2,3,1,2,2,1,3,36,,Female,0,0,0,1,0,0,,Student,2,,,,,,,,3,2,1,1,0,0,0,Ml212 hidden stage award speech,0,60.8,25.1,6.3,2,0.0408,0.0408,0.0147,0.406,0.304,74.74,67.89,6.03,5.16,6.06,14.1,27.5670265
SanMarco,SanMarco2,ML212,48,Italian,0,01/03/2019 14:43,01/03/2019 15:01,45.433663,12.339658,3,5,4,5,0.2071,0.6464,3,4,4,2,1,1,4,1,4,4,3,2,3,5,5,5,5,4,96,,Male,1,0,0,0,0,0,,Employed,1,1,,,,,,,3,2,1,1,0,0,0,Ml212 hidden stage award celebration,0,60.8,25.1,6.3,2,0.0408,0.0408,0.0147,0.406,0.304,74.74,67.89,6.03,5.16,6.06,14.1,27.5670265
SanMarco,SanMarco2,ML213,88,English,0,01/03/2019 14:50,01/03/2019 15:00,45.433663,12.339658,1,4,4,2,0.2803,0.7803,5,4,4,1,2,3,5,1,3,4,3,3,4,4,4,5,3,3,76,,Male,1,0,0,0,0,0,,Employed,2,1,,ucla,2,,,,1,1,1,1,0,0,0,,1,31.19,26.4,5.8,2.12,0.0388,0.0388,0.0254,0.361,0.336,73.43,70.03,5.47,2.88,3.82,13.4,30.24745967
SanMarco,SanMarco2,ML214,50,Italian,0,01/03/2019 15:04,01/03/2019 15:10,45.433663,12.339658,1,1,4,2,0.5732,0.0732,4,2,4,4,4,2,4,1,4,5,4,2,5,4,4,2,2,4,64,,Female,0,0,0,1,0,0,,Student,2,1,,Ca' foscari,,,,,4,3,1,1,0,0,0,Ml214,0,60.54,31,8.2,2.07,0.0388,0.0388,0.0241,0.351,0.39,79.38,72.89,6.29,5.41,6.94,15.6,35.03917434
SanMarco,SanMarco2,ML214,51,Italian,0,01/03/2019 15:04,01/03/2019 15:10,45.433663,12.339658,1,1,4,2,0.4571,0.3536,4,3,4,2,3,1,4,2,4,4,3,2,4,4,3,2,2,3,56,,Female,0,0,0,1,0,0,,Student,4,1,,ca foscari,,,,,,,1,1,0,0,0,,1,60.54,31,8.2,2.07,0.0388,0.0388,0.0241,0.351,0.39,79.38,72.89,6.29,5.41,6.94,15.6,35.03917434
SanMarco,SanMarco2,ML214,49,Italian,0,01/03/2019 15:01,01/03/2019 15:10,45.433663,12.339658,1,1,4,2,0.3536,0.7071,4,3,4,1,2,2,5,1,4,4,3,3,4,4,3,4,4,4,76,,Female,0,0,0,1,0,0,,Student,3,1,,Ca' Foscari,,,,,4,3,1,1,0,0,0,Ml214,0,60.54,31,8.2,2.07,0.0388,0.0388,0.0241,0.351,0.39,79.38,72.89,6.29,5.41,6.94,15.6,35.03917434
SanMarco,SanMarco3,SM301,52,Italian,0,03/03/2019 14:37,03/03/2019 14:47,45.433663,12.339658,2,1,4,3,-0.2197,0.1339,3,4,2,1,3,3,3,4,3,4,4,3,3,2,1,1,1,3,32,,Male,0,0,0,0,1,0,Artigiano,Other,5,1,,,,,,A bit of confusion and a sense of annoyance,1,3,1,1,0,0,0,Costumed Character,1,44.25,29.9,6.3,2.18,0.0474,0.0474,0.0298,0.39,0.344,75.02,71.7,5.2,2.89,4.06,14.4,35.09011129
SanMarco,SanMarco3,SM301,53,Italian,0,03/03/2019 14:37,03/03/2019 14:47,45.433663,12.339658,2,2,4,3,0.25,0.25,4,3,4,3,3,3,4,2,4,4,3,4,5,4,4,4,4,4,80,,Female,0,0,0,0,1,0,,Other,4,5,,,,,,,1,3,1,1,0,0,0,,1,44.25,29.9,6.3,2.18,0.0474,0.0474,0.0298,0.39,0.344,75.02,71.7,5.2,2.89,4.06,14.4,35.09011129
SanMarco,SanMarco3,SM302,94,English,0,03/03/2019 14:52,03/03/2019 15:02,45.433663,12.339658,1,2,4,1,-0.2071,0.5607,2,2,3,1,1,4,5,2,2,5,4,2,3,3,4,4,3,4,72,,Male,1,0,0,0,0,0,,Employed,2,1,,,2,,,It's Carneval in Venice,3,2,1,1,0,0,0,,1,23.89,38.4,8.7,2.23,0.0541,0.0541,0.0373,0.425,0.356,76.86,74.4,6.62,2.24,4.88,15.3,46.21830244
SanMarco,SanMarco3,SM303,55,Italian,0,03/03/2019 14:54,03/03/2019 15:04,45.433663,12.339658,3,1,4,3,0.2071,0.3964,4,4,4,3,2,2,4,2,2,4,2,3,4,4,3,3,3,3,64,,Female,0,0,0,1,0,0,,Student,2,1,,Universita di Padova,,Visitatore,,,1,3,1,1,0,0,0,,1,34.6,33.7,6.5,2.15,0.0453,0.0453,0.0205,0.345,0.654,78.43,73.96,4.67,4.12,4.52,13.9,39.26494164
